#,Title,Date,slug,Permalink
81,लिंगाष्टकमं स्तोत्र,2020-05-02 17:40:00,lingastakam-stotra,https://sanskrit.dasarpai.com/lingastakam-stotra/
82,अच्युतस्याष्टकम्,2020-05-02 17:11:00,achyutashtakam-acyutam-keshavam-ramanarayanam,https://sanskrit.dasarpai.com/achyutashtakam-acyutam-keshavam-ramanarayanam/
83,अथ द्वितीयोऽध्यायः - साङ्ख्ययोगः,2020-05-02 16:59:00,bhagwat-gita-chapter-2,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-2/
84,श्रीमद्भगवद्गीता प्रथमोऽध्यायः,2020-05-01 16:44:00,bhagwat-gita-chapter-1,https://sanskrit.dasarpai.com/bhagwat-gita-chapter-1/
85,याज्ञवल्क्योपनिषत्,2020-04-30 18:21:00,yaagyavalkyopnishad,https://sanskrit.dasarpai.com/yaagyavalkyopnishad/
86,निर्वाणोपनिषत्,2020-04-30 18:16:00,nirvanopnishad,https://sanskrit.dasarpai.com/nirvanopnishad/
87,मन,2020-04-29 13:29:00,vipasana-dohe-manas,https://sanskrit.dasarpai.com/vipasana-dohe-manas/
88,धर्म,2020-04-29 13:28:00,vipasana-dohe-dharma,https://sanskrit.dasarpai.com/vipasana-dohe-dharma/
89,श्रीविष्णुसहस्रनामस्तोत्रम्,2020-04-29 2:42:00,vishnu-sahasranaam,https://sanskrit.dasarpai.com/vishnu-sahasranaam/
90,अथ दुर्गासूक्तम्,2020-04-28 18:06:00,durgasuktam,https://sanskrit.dasarpai.com/durgasuktam/
91,श्रीशिवमहिम्नस्तोत्र,2020-04-28 6:37:00,shiv-mahimnstotra,https://sanskrit.dasarpai.com/shiv-mahimnstotra/
92,॥श्रीसारदास्तवं ॥,2020-04-28 3:59:00,shri-sarada-stava,https://sanskrit.dasarpai.com/shri-sarada-stava/
93,शिवतांडवस्तोत्रं,2020-04-27 19:02:00,shiv-tandava-stotram,https://sanskrit.dasarpai.com/shiv-tandava-stotram/
94,कैवल्योपनिषत्,2020-04-27 18:52:00,kaivalopnishad,https://sanskrit.dasarpai.com/kaivalopnishad/
95,तोटकाष्टकं - शंकरदेशिकाष्टकम्,2020-04-27 18:39:00,sankara-deshika-shatakam-totakaashtakam,https://sanskrit.dasarpai.com/sankara-deshika-shatakam-totakaashtakam/
96,श्रीहनुमत्सूक्तम्,2020-04-27 18:04:00,shrihanumatsuktam,https://sanskrit.dasarpai.com/shrihanumatsuktam/
97,शिवषडाक्षर स्तोत्रं,2020-04-26 4:08:00,shiva-shadakshara-stotram,https://sanskrit.dasarpai.com/shiva-shadakshara-stotram/
98,श्रीशिवपञ्चाक्षरस्तोत्रम्,2020-04-26 3:53:00,shri-shivpanchaakshari-stotram,https://sanskrit.dasarpai.com/shri-shivpanchaakshari-stotram/
99,दारिद्र्य दहन शिवस्तोत्रम्,2020-04-26 3:45:00,daridrya-dahan-shivstotram,https://sanskrit.dasarpai.com/daridrya-dahan-shivstotram/
100,उमामहेश्वर स्तोत्रं,2020-04-26 3:40:00,uma-maheshwara-stotram,https://sanskrit.dasarpai.com/uma-maheshwara-stotram/
101,गुर्वष्टकम्,2020-04-26 3:31:00,gurvashtaka,https://sanskrit.dasarpai.com/gurvashtaka/
102,श्री मदन मोहन अष्टकम,2020-04-26 3:26:00,sri-madana-mohana-ashtakam,https://sanskrit.dasarpai.com/sri-madana-mohana-ashtakam/
103,शिवमानसपूजा,2020-04-26 3:21:00,shivmaanaspooja,https://sanskrit.dasarpai.com/shivmaanaspooja/
104,भज गोविन्दं,2020-04-23 18:43:00,bhaj-govindam,https://sanskrit.dasarpai.com/bhaj-govindam/
105,श्री काल भैरव अष्टकम्‌,2020-04-22 17:42:00,shri-kaal-bhairav-ashta,https://sanskrit.dasarpai.com/shri-kaal-bhairav-ashta/
106,मङ्गलाचरणम्,2020-04-22 14:39:00,mangalacharan,https://sanskrit.dasarpai.com/mangalacharan/
107,विष्णुसूक्तम्,2020-04-22 14:25:00,vishnusuktam,https://sanskrit.dasarpai.com/vishnusuktam/
108,तैत्तिरीयोपनिषत्,2020-04-21 19:53:00,brahmanandamimamsa,https://sanskrit.dasarpai.com/brahmanandamimamsa/
109,निर्वाणषट्कम्,2020-04-21 19:46:00,nirvaanshatkam,https://sanskrit.dasarpai.com/nirvaanshatkam/
110,भूसूक्तम्,2020-04-21 14:09:00,bhoosuktam,https://sanskrit.dasarpai.com/bhoosuktam/
111,भवसागर तारण कारण हे,2020-04-21 4:41:00,bhava-sagara-tarana-karana-he,https://sanskrit.dasarpai.com/bhava-sagara-tarana-karana-he/
112,तिरुक्कूरळ,2020-04-21 4:24:00,thirukkural-in-hindi-chapter-06-10,https://sanskrit.dasarpai.com/thirukkural-in-hindi-chapter-06-10/
113,तिरुक्कूरळ हिन्दी अनुवाद,2020-04-21 4:15:00,thirukkural-complete-in-hindi,https://sanskrit.dasarpai.com/thirukkural-complete-in-hindi/
114,तैत्तिरीयोपनिषत् सस्वरा - द्वितीया ब्रह्मानन्दवल्ली,2020-04-21 3:54:00,taitriya-upnishad-brahmananda-valli,https://sanskrit.dasarpai.com/taitriya-upnishad-brahmananda-valli/
115,तैत्तिरीयोपनिषत् सस्वरा - तृतीया भृगुवल्ली,2020-04-21 3:47:00,taitriya-upnishad-bhrugu-valli,https://sanskrit.dasarpai.com/taitriya-upnishad-bhrugu-valli/
116,तैत्तिरीयोपनिषत् सस्वरा - प्रथमा शीक्षावल्ली,2020-04-21 3:43:00,taitriya-upnishad-sheeksha-valli,https://sanskrit.dasarpai.com/taitriya-upnishad-sheeksha-valli/
117,मीनाक्षीस्तोत्रम्,2020-04-20 3:37:00,meenakshi-stotram,https://sanskrit.dasarpai.com/meenakshi-stotram/
118,पुरुषसूक्त,2020-04-19 18:54:00,purush-suktam,https://sanskrit.dasarpai.com/purush-suktam/
119,तन्त्रोक्तं देविसूक्तम्,2020-04-19 18:50:00,tantroktam-devisuktam,https://sanskrit.dasarpai.com/tantroktam-devisuktam/
