"Old_Name","New_Name","Date_Time",,,
"2022-01-15 14_12_42-LiveSession - upGrad.jpg","2022-01-15-14_12_42-LiveSession-upGrad.jpg","2022-01-15-14","- image: 2022-01-15-14_12_42-LiveSession-upGrad.jpg",58,"- image: 2022-01-15-14_12_42-LiveSession-upGrad.jpg"
"2022-01-15 19_09_17-LiveSession - upGrad.jpg","2022-01-15-19_09_17-LiveSession-upGrad.jpg","2022-01-15-19","- image: 2022-01-15-19_09_17-LiveSession-upGrad.jpg",59,"- image: 2022-01-15-19_09_17-LiveSession-upGrad.jpg"
"2022-01-20 10_18_39-HeroVired-Zoom Meeting.jpg","2022-01-20-10_18_39-HeroVired-Zoom-Meeting.jpg","2022-01-20-10","- image: 2022-01-20-10_18_39-HeroVired-Zoom-Meeting.jpg",60,"- images: - image: 2022-01-20-10_18_39-HeroVired-Zoom-Meeting.jpg"
"2022-01-20 16_08_12-VideoFrameWnd.jpg","2022-01-20-16_08_12-VideoFrameWnd.jpg","2022-01-20-16","- image: 2022-01-20-16_08_12-VideoFrameWnd.jpg",61,"- image: 2022-01-20-16_08_12-VideoFrameWnd.jpg"
"2022-01-22 13_59_01-LiveSession - upGrad.jpg","2022-01-22-13_59_01-LiveSession-upGrad.jpg","2022-01-22-13","- image: 2022-01-22-13_59_01-LiveSession-upGrad.jpg",62,"- image: 2022-01-22-13_59_01-LiveSession-upGrad.jpg"
"2022-01-22 14_03_08-LiveSession - upGrad.jpg","2022-01-22-14_03_08-LiveSession-upGrad.jpg","2022-01-22-14","- image: 2022-01-22-14_03_08-LiveSession-upGrad.jpg",63,"- image: 2022-01-22-14_03_08-LiveSession-upGrad.jpg"
"2022-01-22 19_00_46-LiveSession - upGrad.jpg","2022-01-22-19_00_46-LiveSession-upGrad.jpg","2022-01-22-19","- image: 2022-01-22-19_00_46-LiveSession-upGrad.jpg",64,"- image: 2022-01-22-19_00_46-LiveSession-upGrad.jpg"
"2022-01-29 14_03_56-LiveSession - upGrad.jpg","2022-01-29-14_03_56-LiveSession-upGrad.jpg","2022-01-29-14","- image: 2022-01-29-14_03_56-LiveSession-upGrad.jpg",65,"- image: 2022-01-29-14_03_56-LiveSession-upGrad.jpg"
"2022-01-29 14_04_19-LiveSession - upGrad.jpg","2022-01-29-14_04_19-LiveSession-upGrad.jpg","2022-01-29-14","- image: 2022-01-29-14_04_19-LiveSession-upGrad.jpg",66,"- image: 2022-01-29-14_04_19-LiveSession-upGrad.jpg"
"2022-01-29 19_07_41-LiveSession - upGrad.jpg","2022-01-29-19_07_41-LiveSession-upGrad.jpg","2022-01-29-19","- image: 2022-01-29-19_07_41-LiveSession-upGrad.jpg",67,"- image: 2022-01-29-19_07_41-LiveSession-upGrad.jpg"
